iterations,currBestLength,bestLength,nBestPathAnts,nBestCurrentPathAnts,apha,beta,rho,Q,sigma,nAnts,nCities,pheremonesDiversity,hammingDistance2,diversityOfLength
50,228.357173323631,218.011866688728,0,0,1,2,0.7,50,20,20,48,0.0105605339636899,34.321052631579,30.2980005575721
51,224.714694023132,218.011866688728,0,0,1,2,0.7,50,20,20,48,0.0919696724561285,32.9157894736842,22.6226339708398
52,220.54660487175,218.011866688728,0,0,1,2,0.7,50,20,20,48,0.0237756574197508,25.7894736842105,16.9624498713724
53,229.556505799294,218.011866688728,0,0,1,2,0.7,50,20,20,48,0.0144207579153089,31.0842105263158,12.6349625729522
54,224.802383422852,218.011866688728,0,0,1,2,0.7,50,20,20,48,1.0296607578141,30.0736842105263,22.0079263474396
55,222.879802703857,218.011866688728,0,0,1,2,0.7,50,20,20,48,9.7141747233888,25.7368421052632,0
56,229.601592063904,218.011866688728,0,0,1,2,0.7,50,20,20,48,9.74925435961953,25.7368421052632,0
57,231.256487846375,218.011866688728,0,0,1,2,0.7,50,20,20,48,9.80010601771445,24.7473684210526,0
58,225.291748046875,218.011866688728,0,0,1,2,0.7,50,20,20,48,9.5741827143571,25.7368421052632,0
59,224.14191532135,218.011866688728,0,0,1,2,0.7,50,20,20,48,9.54928700026326,23.5105263157895,0
60,218.001071929932,218.001071929932,0,0,1,2,0.7,50,20,20,48,9.81671921208278,24.7473684210526,0
61,217.891377449036,217.891377449036,0,0,1,2,0.7,50,20,20,48,9.67943722253082,25.7368421052632,0
62,235.168065071106,217.891377449036,0,0,1,2,0.7,50,20,20,48,9.4914333515537,24.7473684210526,0
63,215.928084850311,215.928084850311,0,0,1,2,0.7,50,20,20,48,9.63534940961477,25.4894736842105,0
64,224.714694023132,215.928084850311,0,0,1,2,0.7,50,20,20,48,9.60694998651234,19.5526315789474,0
65,218.519777774811,215.928084850311,0,0,1,2,0.7,50,20,20,48,9.74773543551611,25.4894736842105,0
66,214.813611745834,214.813611745834,0,0,1,2,0.7,50,20,20,48,9.6719609139782,24.7473684210526,0
67,236.870055198669,214.813611745834,0,0,1,2,0.7,50,20,20,48,9.66187858020904,23.5105263157895,0
68,220.755731582642,214.813611745834,0,0,1,2,0.7,50,20,20,48,9.6795890499674,25.4894736842105,0
69,236.870055198669,214.813611745834,0,0,1,2,0.7,50,20,20,48,9.64153303289638,24.7473684210526,0
70,212.216498374939,212.216498374939,20,0,1,2,0.7,50,20,20,48,9.61801049440579,21.7789473684211,0
71,218.346462249756,212.216498374939,20,0,1,2,0.7,50,20,20,48,0.0249837726163179,24.7473684210526,0
72,219.105877876282,212.216498374939,9,0,1,2,0.7,50,20,20,48,0.0212734031852022,27.0578947368421,22.0531731780288
